From	To
P46100	ATRX
P46531	NOTCH1
P46777	RPL5
P46778	RPL21
P46976	GYG1
P46977	STT3A
P47712	PLA2G4A
P47804	RGR
P47895	ALDH1A3
P47897	QARS1
P47989	XDH
P48023	FASLG
P48029	SLC6A8
P48048	KCNJ1
P48051	KCNJ6
P48165	GJA8
P48167	GLRB
P48382	RFX5
P48436	SOX9
P48449	LSS
P48506	GCLC
P48544	KCNJ5
P48547	KCNC1
P48637	GSS
P48643	CCT5
P48651	PTDSS1
P48668	KRT6C
P48728	AMT
P48730	CSNK1D
P48735	IDH2
P48788	TNNI2
P49247	RPIA
P49257	LMAN1
P49281	SLC11A2
P49335	POU3F4
P49411	TUFM
P49419	ALDH7A1
P49459	UBE2A
P49585	PCYT1A
P49588	AARS1
P49590	HARS2
P49638	TTPA
P49675	STAR
P49711	CTCF
P49715	CEBPA
P49747	COMP
P49748	ACADVL
P49768	PSEN1
P49770	EIF2B2
P49773	HINT1
P49792	RANBP2
P49810	PSEN2
P49815	TSC2
P49821	NDUFV1
P49917	LIG4
P49918	CDKN1C
P49959	MRE11
P49961	ENTPD1
P50053	KHK
P50148	GNAQ
P50219	MNX1
P50281	MMP14
P50336	PPOX
P50402	EMD
P50416	CPT1A
P50440	GATM
P50443	SLC26A2
P50454	SERPINH1
P50461	CSRP3
P50542	PEX5
P50548	ERF
P50570	DNM2
P50747	HLCS
P50851	LRBA
P50897	PPT1
P50993	ATP1A2
P51149	RAB7A
P51159	RAB27A
P51160	PDE6C
P51168	SCNN1B
P51178	PLCD1
P51449	RORC
P51460	INSL3
P51508	ZNF81
P51530	DNA2
P51531	SMARCA2
P51532	SMARCA4
P51570	GALK1
P51587	BRCA2
P51608	MECP2
P51610	HCFC1
P51648	ALDH3A2
P51649	ALDH5A1
P51654	GPC3
P51659	HSD17B4
P51687	SUOX
P51688	SGSH
P51690	ARSL
P51692	STAT5B
P51787	KCNQ1
P51788	CLCN2
P51795	CLCN5
P51798	CLCN7
P51800	CLCNKA
P51801	CLCNKB
P51810	GPR143
P51811	XK
P51812	RPS6KA3
P51843	NR0B1
P51857	AKR1D1
P52429	DGKE
P52701	MSH6
P52732	KIF11
P52788	SMS
P52848	NDST1
P52895	AKR1C2
P52945	PDX1
P52952	NKX2-5
P53007	SLC25A1
P53420	COL4A4
P53597	SUCLG1
P53602	MVD
P53621	COPA
P53634	CTSC
P53672	CRYBA2
P53673	CRYBA4
P53674	CRYBB1
P53680	AP2S1
P53701	HCCS
P53708	ITGA8
P53985	SLC16A1
P54098	POLG
P54132	BLM
P54136	RARS1
P54278	PMS2
P54577	YARS1
P54710	FXYD2
P54802	NAGLU
P54803	GALC
P54819	AK2
P54821	PRRX1
P54840	GYS2
P54845	NRL
P54851	EMP2
P54868	HMGCS2
P54886	ALDH18A1
P55000	SLURP1
P55017	SLC12A3
P55064	AQP5
P55072	VCP
P55084	HADHB
P55157	MTTP
P55263	ADK
P55265	ADAR
P55268	LAMB2
P55291	CDH15
P55316	FOXG1
P55771	PAX9
P55789	GFER
P55809	OXCT1
P55895	RAG2
P55916	UCP3
P56178	DLX5
P56192	MARS1
P56381	ATP5F1E
P56539	CAV3
P56589	PEX3
P56693	SOX10
P56696	KCNQ4
P56705	WNT4
P56715	RP1
P57059	SIK1
P57078	RIPK4
P57082	TBX4
P57679	EVC
P57727	TMPRSS3
P57796	CABP4
P58012	FOXL2
P58304	VSX2
P58335	ANTXR2
P58418	CLRN1
P60174	TPI1
P60201	PLP1
P60484	PTEN
P60709	ACTB
P60880	SNAP25
P60891	PRPS1
P61266	STX1B
P61457	PCBD1
P61626	LYZ
P61764	STXBP1
P61769	B2M
P61812	TGFB2
P61916	NPC2
P62158	CALM1
P62158	CALM2
P62158	CALM3
P62273	RPS29
P62304	SNRPE
P62736	ACTA2
P62854	RPS26
P62913	RPL11
P63092	GNAS
P63252	KCNJ2
P63261	ACTG1
P63267	ACTG2
P63316	TNNC1
P68032	ACTC1
P68133	ACTA1
P68366	TUBA4A
P68871	HBB
P69892	HBG2
P78314	SH3BP2
P78330	PSPH
P78337	PITX1
P78363	ABCA4
P78364	PHC1
P78381	SLC35A2
P78385	KRT83
P78386	KRT85
P78411	IRX5
P78424	POU6F2
P78504	JAG1
P78508	KCNJ10
P78509	RELN
P78527	PRKDC
P78560	CRADD
P78562	PHEX
P80365	HSD11B2
P80404	ABAT
P81172	HAMP
P82251	SLC7A9
P82279	CRB1
P82650	MRPS22
P84022	SMAD3
P84074	HPCA
P84996	GNAS
P98160	HSPG2
P98161	PKD1
P98164	LRP2
P98172	EFNB1
P98174	FGD1
P98194	ATP2C1
P99999	CYCS
Q00266	MAT1A
Q00325	SLC25A3
Q00534	CDK6
Q00577	PURA
Q00597	FANCC
Q00604	NDP
Q00872	MYBPC1
Q00973	B4GALNT1
Q00975	CACNA1B
Q00LT1	PRCD
Q01432	AMPD3
Q01433	AMPD2
Q01453	PMP22
Q01484	ANK2
Q01668	CACNA1D
Q01718	MC2R
Q01726	MC1R
Q01831	XPC
Q01955	COL4A3
Q01959	SLC6A3
Q01968	OCRL
Q01974	ROR2
Q02094	RHAG
Q02127	DHODH
Q02224	CENPE
Q02252	ALDH6A1
Q02318	CYP27A1
Q02388	COL7A1
Q02487	DSC2
Q02548	PAX5
Q02556	IRF8
Q02643	GHRHR
Q02750	MAP2K1
Q02763	TEK
Q02809	PLOD1
Q02846	GUCY2D
Q02962	PAX2
Q03154	ACY1
Q03252	LMNB2
Q03393	PTS
Q03426	MVK
Q03431	PTH1R
Q03468	ERCC6
Q03692	COL10A1
Q04446	GBE1
Q04637	EIF4G1
Q04656	ATP7A
Q04671	OCA2
Q04695	KRT17
Q04721	NOTCH2
Q04771	ACVR1
Q04844	CHRNE
Q05066	SRY
Q05193	DNM1
Q05516	ZBTB16
Q05586	GRIN1
Q05639	EEF1A2
Q06124	PTPN11
Q06187	BTK
Q06210	GFPT1
Q06330	RBPJ
Q06495	SLC34A1
Q06609	RAD51
Q06710	PAX8
Q06787	FMR1
Q07001	CHRND
Q07699	SCN1B
Q07837	SLC3A1
Q07864	POLE
Q07889	SOS1
Q07890	SOS2
Q07973	CYP24A1
Q08289	CACNB2
Q08357	SLC20A2
Q08426	EHHADH
Q08499	PDE4D
Q08881	ITK
Q08J23	NSUN2
Q09428	ABCC8
Q09470	KCNA1
Q0D2K0	NIPAL4
Q0VAK6	LMOD3
Q0ZGT2	NEXN
Q0ZLH3	PJVK
Q10469	MGAT2
Q11203	ST3GAL3
Q12756	KIF1A
Q12768	WASHC5
Q12791	KCNMA1
Q12794	HYAL1
Q12797	ASPH
Q12805	EFEMP1
Q12809	KCNH2
Q12824	SMARCB1
Q12840	KIF5A
Q12866	MERTK
Q12879	GRIN2A
Q12882	DPYD
Q12887	COX10
Q12908	SLC10A2
Q12946	FOXF1
Q12948	FOXC1
Q12965	MYO1E
Q12988	HSPB3
Q13049	TRIM32
Q13057	COASY
Q13061	TRDN
Q13064	MKRN3
Q13093	PLA2G7
Q13114	TRAF3
Q13144	EIF2B5
Q13148	TARDBP
Q13158	FADD
Q13216	ERCC8
Q13224	GRIN2B
Q13233	MAP3K1
Q13253	NOG
Q13285	NR5A1
